datetime,country,shape,duration (seconds),latitude,longitude
10/10/1949 20:30,us,cylinder,2700,29.8830556,-97.9411111
10/10/1949 21:00,,light,7200,29.38421,-98.581082
10/10/1955 17:00,gb,circle,20,53.2,-2.916667
10/10/1956 21:00,us,circle,20,28.9783333,-96.6458333
10/10/1960 20:00,us,light,900,21.4180556,-157.8036111
10/10/1961 19:00,us,sphere,300,36.5950000,-82.1888889
10/10/1965 21:00,gb,circle,180,51.434722,-3.18
10/10/1965 23:45,us,disk,1200,41.1175000,-73.4083333
10/10/1966 20:00,us,disk,180,33.5861111,-86.2861111
10/10/1966 21:00,us,disk,120,30.2947222,-82.9841667
10/10/1968 13:00,us,circle,300,33.9163889,-118.3516667
10/10/1968 19:00,us,fireball,180,35.2333333,-82.7344444
10/10/1970 16:00,us,disk,1800,40.6686111,-73.5275000
10/10/1970 19:00,us,unknown,180,37.1536111,-83.7619444
10/10/1971 21:00,us,oval,30,35.8238889,-80.2536111
10/10/1972 19:00,us,circle,1200,36.8430556,-83.3219444
10/10/1972 22:30,us,disk,120,42.5377778,-83.2330556
10/10/1973 19:00,us,disk,1800,41.3252778,-72.1936111
10/10/1973 23:00,,light,20,32.364167,-64.678611
10/10/1974 19:30,us,other,2700,42.3916667,-71.5666667
10/10/1974 21:30,gb,disk,1200,51.5,-3.2
10/10/1974 23:00,us,light,1200,38.1055556,-98.6597222
10/10/1975 17:00,us,light,360,32.8544444,-79.9750000
10/10/1976 20:30,us,oval,60,45.5827778,-122.3522222
10/10/1976 22:00,gb,cigar,3,51.783333,-.783333
10/10/1977 12:00,us,other,30,29.4238889,-98.4933333
10/10/1977 22:00,us,light,30,38.2541667,-85.7594444
10/10/1978 02:00,us,rectangle,300,40.7008333,-73.7133333
10/10/1979 00:00,us,chevron,900,41.7002778,-73.9213889
10/10/1979 22:00,,triangle,270,53.970571,-111.689885
10/10/1979 22:00,us,oval,180,32.7152778,-117.1563889
10/10/1979 22:00,us,unknown,1800,38.7583333,-104.7425000
10/10/1980 19:00,us,sphere,180,29.7630556,-95.3630556
10/10/1980 22:00,us,unknown,300,32.7833333,-96.8000000
10/10/1980 23:30,us,light,300,42.9955556,-71.4552778
10/10/1982 07:00,,disk,120,-38.662334,178.017649
10/10/1984 05:00,us,circle,60,29.7630556,-95.3630556
10/10/1984 12:00,us,other,120,44.7630556,-85.6205556
10/10/1984 22:00,us,formation,20,41.0338889,-73.7633333
10/10/1985 20:25,gb,triangle,600,53.8,-1.583333
10/10/1986 20:00,,chevron,180,41.523427,-73.646795
10/10/1988 18:00,us,triangle,600,43.0388889,-87.9063889
10/10/1988 21:00,us,unknown,120,43.9627778,-70.2830556
10/10/1988 22:00,us,light,60,40.0150000,-105.2700000
10/10/1988 22:45,us,unknown,2,47.6063889,-122.3308333
10/10/1989 00:00,us,disk,300,34.1577778,-118.6375000
10/10/1989 21:00,us,triangle,60,46.7163889,-122.9530556
10/10/1989 21:00,,triangle,180,36.722263,-86.577218
10/10/1990 21:00,us,triangle,120,31.7058333,-83.6533333
10/10/1991 22:00,us,unknown,1800,35.2350000,-75.6288889
10/10/1991 22:00,us,triangle,600,40.2736111,-76.8847222
10/10/1992 17:00,us,formation,3600,30.1586111,-85.6602778
10/10/1992 18:00,us,unknown,10,29.6158333,-95.5575000
10/10/1992 20:15,us,cigar,60,35.8905556,-83.7247222
10/10/1992 22:00,us,unknown,30,32.7591667,-97.7969444
10/10/1993 03:00,,sphere,1200,55.183333,59.65
10/10/1993 22:00,us,light,8,40.6936111,-89.5888889
10/10/1993 23:00,us,other,60,36.2522222,-85.9516667
10/10/1994 15:00,,cigar,3600,26.149798,-97.913611
10/10/1994 18:30,us,rectangle,120,42.9097222,-73.8955556
10/10/1994 22:00,us,light,5,34.1027778,-91.9922222
10/10/1994 23:00,ca,sphere,3600,43.666667,-79.416667
10/10/1995 19:45,us,,120,43.0388889,-87.9063889
10/10/1995 22:40,us,,60,37.8044444,-122.2697222
10/10/1996 03:20,us,triangle,3,39.0725000,-93.7169444
10/10/1996 20:00,,light,300,-33.093373,151.588982
10/10/1996 22:00,us,light,300,32.7763889,-79.9311111
10/10/1996 22:30,us,cylinder,60,39.4402778,-84.3622222
10/10/1997 16:00,us,delta,14400,39.6411111,-85.1411111
10/10/1997 17:00,us,sphere,30,33.4222222,-111.8219444
10/10/1997 20:00,us,triangle,300,32.5436111,-83.5961111
10/10/1997 21:00,us,other,3600,43.6666667,-92.9744444
10/10/1998 02:30,us,changing,300,34.0983333,-118.3258333
10/10/1998 03:30,us,fireball,15,33.4483333,-112.0733333
10/10/1998 13:15,us,cylinder,1800,42.0372222,-88.2811111
10/10/1998 17:30,us,cigar,600,36.1750000,-115.1363889
10/10/1998 17:30,us,circle,2700,36.1750000,-115.1363889
10/10/1998 20:30,,triangle,60,40.935998,-73.901708
10/10/1998 20:30,us,triangle,600,47.6588889,-117.4250000
10/10/1998 20:50,us,light,2,35.5847222,-80.8102778
10/10/1998 22:30,ca,egg,7200,47.55,-52.666667
10/10/1998 23:50,us,fireball,15,35.2650000,-84.5533333
10/10/1999 00:01,us,changing,3600,38.0194444,-122.1330556
10/10/1999 04:00,us,unknown,600,39.1141667,-94.6272222
10/10/1999 06:00,us,other,10,32.7833333,-96.8000000
10/10/1999 11:00,us,fireball,3600,32.7152778,-117.1563889
10/10/1999 12:40,us,sphere,45,46.2113889,-119.1361111
10/10/1999 20:35,us,circle,90,37.6688889,-122.0797222
10/10/1999 21:00,us,light,10800,37.6447222,-115.7427778
10/10/1999 21:30,us,sphere,300,41.6916667,-97.4841667
10/10/1999 22:30,,triangle,120,27.150053,-82.480653
10/10/1999 22:30,us,chevron,240,45.5650000,-117.9163889
10/10/1999 23:45,us,oval,2700,44.8838889,-84.3055556
10/10/2000 03:00,us,oval,180,37.7241667,-89.8611111
10/10/2000 06:15,us,other,10,26.5250000,-80.0666667
10/10/2000 07:30,ca,cylinder,30,46.216667,-63.483333
10/10/2000 16:00,,triangle,45,43.40555,-88.705104
10/10/2000 20:20,,oval,15,38.627003,-90.199404
10/10/2000 20:30,us,light,1800,38.1266667,-92.0844444
10/10/2000 21:30,us,light,5,38.9988889,-84.6266667
10/10/2000 21:30,us,unknown,10,47.6063889,-122.3308333
10/10/2000 22:00,us,diamond,60,47.5405556,-122.6350000
10/10/2001 03:00,us,triangle,240,42.3952778,-94.6336111
10/10/2001 04:33,au,formation,180,-33.861481,151.205475
10/10/2001 20:10,ca,other,300,49.25,-123.133333
10/10/2001 20:35,us,circle,120,37.6688889,-122.0797222
10/10/2001 21:15,us,rectangle,300,41.0041667,-92.3736111
10/10/2001 21:30,us,changing,900,36.7477778,-119.7713889
10/10/2001 22:00,us,triangle,60,33.4483333,-112.0733333
10/10/2001 23:00,us,triangle,30,36.8527778,-75.9783333
10/10/2002 00:01,us,flash,43,46.0130556,-91.4844444
10/10/2002 02:00,us,unknown,5,44.5402778,-123.3663889
10/10/2002 04:00,au,circle,600,-34.928661,138.598633
10/10/2002 06:00,us,sphere,90,47.6063889,-122.3308333
10/10/2002 19:45,ca,unknown,120,46.216667,-63.483333
10/10/2002 20:30,us,other,1800,39.1619444,-84.4569444
10/10/2002 21:00,us,circle,120,45.5236111,-122.6750000
10/10/2003 09:00,,light,120,41.79393,-86.743915
10/10/2003 12:00,us,oval,300,34.0952778,-118.1261111
10/10/2003 18:00,us,sphere,1800,39.7683333,-86.1580556
10/10/2003 19:15,us,other,600,38.8402778,-77.4291667
10/10/2003 20:05,us,light,15,42.9897222,-116.0925000
10/10/2003 20:25,us,oval,18000,41.7791667,-83.5688889
10/10/2003 21:10,us,formation,37800,33.8075000,-78.7011111
10/10/2003 22:00,us,light,180,35.0844444,-106.6505556
10/10/2003 23:00,,unknown,2700,53.070884,-2.736506
10/10/2003 23:25,us,sphere,1800,45.3088889,-89.4963889
10/10/2004 02:50,us,triangle,180,41.0886111,-74.1441667
10/10/2004 03:30,,other,2700,40.058324,-74.405661
10/10/2004 03:50,ca,changing,1200,49.966667,-98.3
10/10/2004 04:18,us,sphere,5,39.4666667,-87.4138889
10/10/2004 08:30,us,oval,15,39.7683333,-86.1580556
10/10/2004 09:45,ca,unknown,300,45.416667,-80.1
10/10/2004 14:00,us,circle,10,39.6294444,-79.9561111
10/10/2004 15:00,us,unknown,180,37.8716667,-122.2716667
10/10/2004 15:00,us,sphere,3600,41.5094444,-90.5786111
10/10/2004 15:20,,oval,240,55.288131,23.957728
10/10/2004 19:00,,formation,1200,42.209774,-79.466844
10/10/2004 19:00,us,circle,900,42.2669444,-79.7108333
10/10/2004 21:00,us,flash,900,44.2950000,-93.2686111
10/10/2004 21:00,us,light,7200,40.7583333,-82.5155556
10/10/2004 22:00,us,light,60,38.9516667,-92.3338889
10/10/2004 23:30,us,sphere,3000,45.3088889,-89.4963889
10/10/2005 07:40,us,other,60,47.6063889,-122.3308333
10/10/2005 09:00,us,other,30,33.4150000,-111.5488889
10/10/2005 09:30,us,oval,1800,25.9327778,-80.1627778
10/10/2005 14:45,us,egg,10,34.0522222,-118.2427778
10/10/2005 20:00,us,triangle,300,40.5030556,-78.6305556
10/10/2005 20:00,gb,formation,360,52.516667,-3.3
10/10/2005 21:00,us,unknown,240,35.4491667,-86.7888889
10/10/2005 21:30,us,other,3600,25.9327778,-80.1627778
10/10/2005 22:08,us,light,1200,47.4158333,-120.2919444
10/10/2005 23:00,us,light,600,35.3186111,-82.4611111
10/10/2005 23:07,us,disk,300,46.3580556,-94.2005556
10/10/2006 01:00,us,diamond,3600,31.1911111,-95.2352778
10/10/2006 05:00,us,triangle,600,37.7750000,-122.4183333
10/10/2006 12:37,us,unknown,10,34.8761111,-83.9583333
10/10/2006 16:00,us,light,600,35.2247222,-88.2491667
10/10/2006 16:00,us,triangle,600,38.0683333,-78.8897222
10/10/2006 19:00,,fireball,2,35.20105,-91.831833
10/10/2006 20:00,us,other,360,34.6377778,-97.8172222
10/10/2006 21:47,gb,formation,120,50.396389,-4.138611
10/10/2006 22:40,us,light,120,31.2133333,-82.3541667
10/10/2006 22:50,us,disk,300,33.5058333,-102.0086111
10/10/2006 23:00,us,unknown,300,41.5200000,-81.4888889
10/10/2007 01:00,us,light,14400,44.5366667,-122.9058333
10/10/2007 01:00,us,changing,3600,33.5441667,-84.2338889
10/10/2007 04:00,us,changing,2700,39.7391667,-104.9841667
10/10/2007 04:30,us,sphere,30,30.3319444,-81.6558333
10/10/2007 06:00,us,oval,600,33.7205556,-116.2147222
10/10/2007 13:00,us,triangle,10800,42.1033333,-76.2625000
10/10/2007 18:33,us,circle,120,40.0063889,-75.7036111
10/10/2007 19:00,us,flash,3,30.2669444,-97.7427778
10/10/2007 20:10,us,sphere,60,33.5394444,-83.8194444
10/10/2007 20:24,,fireball,180,26.705621,-80.03643
10/10/2007 20:30,us,unknown,3600,33.6675000,-84.0177778
10/10/2007 20:55,us,unknown,30,27.6383333,-80.3975000
10/10/2007 21:00,us,oval,120,27.2541667,-80.2300000
10/10/2007 21:43,us,formation,35,29.7630556,-95.3630556
10/10/2007 22:00,us,light,600,46.7833333,-92.1063889
10/10/2007 22:00,us,circle,600,40.6800000,-102.8388889
10/10/2007 22:00,us,unknown,3600,41.1577778,-80.0888889
10/10/2007 22:00,us,other,4,33.4213889,-96.5769444
10/10/2007 23:05,us,triangle,15,39.8855556,-104.9866667
10/10/2007 23:20,,light,600,59.900209,5.282347
10/10/2008 02:00,ca,other,120,42.983333,-81.25
10/10/2008 02:00,us,light,300,45.5113889,-92.9800000
10/10/2008 02:00,us,circle,240,42.6291667,-73.8650000
10/10/2008 04:00,us,disk,600,40.7138889,-116.1030556
10/10/2008 04:50,us,formation,600,37.9747222,-87.5558333
10/10/2008 06:00,us,oval,45,42.6525000,-73.7566667
10/10/2008 10:22,us,triangle,60,37.5483333,-121.9875000
10/10/2008 18:00,us,triangle,900,32.7252778,-114.6236111
10/10/2008 19:00,us,light,600,41.6833333,-86.2500000
10/10/2008 20:00,us,formation,10,43.8280556,-91.3038889
10/10/2008 20:00,,unknown,120,40.516977,-80.221348
10/10/2008 20:00,us,oval,60,39.9522222,-75.1641667
